DATE-TIME	LANE	VOLUME (Veh/10sec)	VEL (MPH)	OCC %	%MID	%LARGE	SENSOR-TIME
9/25/06 1:23 AM	1	0	46	0	0	0	212451810
9/25/06 1:23 AM	1	1	50	8.6	0	100	212451820
9/25/06 1:23 AM	1	0	50	0	0	0	212451830
9/25/06 1:24 AM	1	2	50	9.4	0	50	212451840
9/25/06 1:24 AM	1	1	52	8.9	0	100	212451850
9/25/06 1:24 AM	1	0	52	0	0	0	212451860
9/25/06 1:24 AM	1	0	52	0	0	0	212451870
9/25/06 1:24 AM	1	0	52	0	0	0	212451880
9/25/06 1:24 AM	1	1	52	2.6	0	0	212451890
9/25/06 1:25 AM	1	0	52	0	0	0	212451900
9/25/06 1:25 AM	1	1	55	2.5	0	0	212451910
9/25/06 1:25 AM	1	0	55	0	0	0	212451920
9/25/06 1:25 AM	1	0	55	0	0	0	212451930
9/25/06 1:25 AM	1	0	55	0	0	0	212451940
9/25/06 1:25 AM	1	0	55	0	0	0	212451950
9/25/06 1:26 AM	1	1	57	2.7	100	0	212451960
9/25/06 1:26 AM	1	1	59	9.9	0	100	212451970
9/25/06 1:26 AM	1	0	59	0	0	0	212451980
9/25/06 1:26 AM	1	0	59	0	0	0	212451990
9/25/06 1:26 AM	1	1	55	1.9	0	0	212452000
9/25/06 1:26 AM	1	0	55	0	0	0	212452010
9/25/06 1:27 AM	1	0	55	0	0	0	212452020
9/25/06 1:27 AM	1	0	55	0	0	0	212452030
9/25/06 1:27 AM	1	0	55	0	0	0	212452040
9/25/06 1:27 AM	1	0	55	0	0	0	212452050
9/25/06 1:27 AM	1	0	55	0	0	0	212452060
9/25/06 1:27 AM	1	0	55	0	0	0	212452070
9/25/06 1:28 AM	1	0	55	0	0	0	212452080
9/25/06 1:28 AM	1	0	55	0	0	0	212452090
9/25/06 1:28 AM	1	0	55	0	0	0	212452100
9/25/06 1:28 AM	1	3	55	5.7	33.3	0	212452110
9/25/06 1:28 AM	1	0	55	0	0	0	212452120
9/25/06 1:28 AM	1	1	58	9.2	0	100	212452130
9/25/06 1:29 AM	1	0	58	0	0	0	212452140
9/25/06 1:29 AM	1	0	58	0	0	0	212452150
9/25/06 1:29 AM	1	1	59	9.6	0	100	212452160
9/25/06 1:29 AM	1	1	58	10.1	0	100	212452170
9/25/06 1:29 AM	1	1	59	11.8	0	100	212452180
9/25/06 1:29 AM	1	0	59	0	0	0	212452190
9/25/06 1:30 AM	1	0	59	0	0	0	212452200
9/25/06 1:30 AM	1	1	62	3.6	100	0	212452210
9/25/06 1:30 AM	1	1	59	10.5	0	100	212452220
9/25/06 1:30 AM	1	0	59	0	0	0	212452230
9/25/06 1:30 AM	1	1	59	2.4	100	0	212452240
9/25/06 1:30 AM	1	1	60	4.9	0	100	212452250
9/25/06 1:31 AM	1	0	60	0	0	0	212452260
9/25/06 1:31 AM	1	0	60	0	0	0	212452270
9/25/06 1:31 AM	1	1	62	2.5	100	0	212452280
9/25/06 1:31 AM	1	0	62	0	0	0	212452290
9/25/06 1:31 AM	1	2	58	19.8	0	100	212452300
9/25/06 1:31 AM	1	1	59	2.2	0	0	212452310
9/25/06 1:32 AM	1	1	61	2.4	0	0	212452320
9/25/06 1:32 AM	1	1	61	8.9	0	100	212452330
9/25/06 1:32 AM	1	0	61	0	0	0	212452340
9/25/06 1:32 AM	1	0	61	8.7	0	0	212452350
9/25/06 1:32 AM	1	2	61	3.6	50	50	212452360
9/25/06 1:32 AM	1	0	61	0.2	0	0	212452370
9/25/06 1:33 AM	1	2	57	17.8	0	100	212452380
9/25/06 1:33 AM	1	0	57	0	0	0	212452390
9/25/06 1:33 AM	1	0	57	0	0	0	212452400
9/25/06 1:33 AM	1	0	57	0	0	0	212452410
9/25/06 1:33 AM	1	0	57	0	0	0	212452420
9/25/06 1:33 AM	1	0	57	0	0	0	212452430
9/25/06 1:34 AM	1	0	57	0	0	0	212452440
9/25/06 1:34 AM	1	0	57	0	0	0	212452450
9/25/06 1:34 AM	1	1	58	9.8	0	100	212452460
